A1CF	Q9NQ94
NRK	Q7Z2Y5
NSA2	O95478
NSD1	Q96L73
NSD2	O96028
NSF	P46459
NSFL1C	Q9UNZ2
NSMCE2	Q96MF7
NSMCE3	Q96MG7
NSMCE4A	Q9NXX6
NSRP1	Q9H0G5
NSUN2	Q08J23
NSUN4	Q96CB9
NSUN5	Q96P11
NSUN6	Q8TEA1
NT5C	Q8TCD5
NT5C2	P49902
NT5C3B	Q969T7
NT5DC1	Q5TFE4
NTMT1	Q9BV86
NTN1	O95631
NTPCR	Q9BSD7
NUB1	Q9Y5A7
NUBP1	P53384
NUBP2	Q9Y5Y2
NUCKS1	Q9H1E3
NUDC	Q9Y266
NUDCD1	Q96RS6
NUDCD2	Q8WVJ2
NUDCD3	Q8IVD9
NUDT11	Q96G61
NUDT15	Q9NV35
NUDT16L1	Q9BRJ7
NUDT19	A8MXV4
NUDT21	O43809
NUDT5	Q9UKK9
NUDT6	P53370
NUDT9	Q9BW91
NUF2	Q9BZD4
NUFIP1	Q9UHK0
NUFIP2	Q7Z417
NUMA1	Q14980
NUMB	P49757
NUP107	P57740
NUP133	Q8WUM0
NUP153	P49790
NUP155	O75694
NUP160	Q12769
NUP188	Q5SRE5
NUP205	Q92621
NUP210	Q8TEM1
NUP214	P35658
NUP35	Q8NFH5
NUP37	Q8NFH4
NUP43	Q8NFH3
NUP50	Q9UKX7
NUP54	Q7Z3B4
NUP62	P37198
NUP85	Q9BW27
NUP88	Q99567
NUP93	Q8N1F7
NUP98	P52948
NUPL2	O15504
NUSAP1	Q9BXS6
NUTF2	P61970
NVL	O15381
NXF1	Q9UBU9
NXN	Q6DKJ4
NYNRIN	Q9P2P1
NYX	Q9GZU5
OAS2	P29728
OAS3	Q9Y6K5
OASL	Q15646
OAT	P04181
OBSL1	O75147
OCLN	Q16625
OCRL	Q01968
ODF2	Q5BJF6
OFD1	O75665
OGA	O60502
OGDH	Q02218
OGFOD1	Q8N543
OGFR	Q9NZT2
OGG1	O15527
OGN	P20774
OGT	O15294
OIP5	O43482
OLA1	Q9NTK5
OPA1	O60313
OR3A2	P47893
OR8B8	Q15620
ORC2	Q13416
ORC5	O43913
ORC6	Q9Y5N6
OSBP	P22059
OSBPL10	Q9BXB5
OSBPL11	Q9BXB4
OSBPL1A	Q9BXW6
OSBPL3	Q9H4L5
OSBPL6	Q9BZF3
OSBPL9	Q96SU4
OSGEP	Q9NPF4
OSTF1	Q92882
OTUB1	Q96FW1
OTUD4	Q01804
OTUD5	Q96G74
OTUD6B	Q8N6M0
OTUD7B	Q6GQQ9
OXA1L	Q15070
OXCT1	P55809
OXR1	Q8N573
OXSR1	O95747
P2RX1	P51575
P2RX2	Q9UBL9
P2RX7	Q99572
P3H1	Q32P28
P4HA1	P13674
P4HA2	O15460
P4HB	P07237
PA2G4	Q9UQ80
PABPC1	P11940
PABPC1L	Q4VXU2
PABPC4	Q13310
PABPC4L	P0CB38
PABPN1	Q86U42
PACSIN2	Q9UNF0
PACSIN3	Q9UKS6
PAF1	Q8N7H5
PAFAH1B1	P43034
PAFAH1B2	P68402
PAFAH1B3	Q15102
PAGE1	O75459
PAICS	P22234
PAIP1	Q9H074
PAK1	Q13153
PAK1IP1	Q9NWT1
PAK2	Q13177
PAK3	O75914
PAK4	O96013
PAK5	Q9P286
PALLD	Q8WX93
PAN2	Q504Q3
PAN3	Q58A45
PANK4	Q9NVE7
PAPOLA	P51003
PAPSS1	O43252
PAPSS2	O95340
PARD3	Q8TEW0
PARG	Q86W56
PARK7	Q99497
PARN	O95453
PARP1	P09874
PARP12	Q9H0J9
PARP14	Q460N5
PARP15	Q460N3
PARP2	Q9UGN5
PARP4	Q9UKK3
PARVA	Q9NVD7
PATJ	Q8NI35
PATL1	Q86TB9
PATZ1	Q9HBE1
PAWR	Q96IZ0
PAX1	P15863
PAXBP1	Q9Y5B6
PAXIP1	Q6ZW49
PBDC1	Q9BVG4
PBK	Q96KB5
PBRM1	Q86U86
PBX2	P40425
PC	P11498
PCBD1	P61457
PCBP1	Q15365
PCBP2	Q15366
PCBP3	P57721
PCBP4	P57723
PCDH20	Q8N6Y1
PCDH7	O60245
PCDHGA9	Q9Y5G4
PCF11	O94913
PCGF6	Q9BYE7
PCID2	Q5JVF3
PCK2	Q16822
PCLAF	Q15004
PCM1	Q15154
PCMT1	P22061
PCNA	P12004
PCNP	Q8WW12
PCNT	O95613
PCSK5	Q92824
PCSK6	P29122
PCSK9	Q8NBP7
PCYT1A	P49585
PDAP1	Q13442
PDCD10	Q9BUL8
PDCD11	Q14690
PDCD2	Q16342
PDCD2L	Q9BRP1
PDCD4	Q53EL6
PDCD5	O14737
PDCD6	O75340
PDCD6IP	Q8WUM4
PDCL	Q13371
PDCL3	Q9H2J4
PDE12	Q6L8Q7
PDE2A	O00408
PDE3A	Q14432
PDE3B	Q13370
PDE4A	P27815
PDE4C	Q08493
PDE4DIP	Q5VU43
PDE6A	P16499
PDE6D	O43924
PDHB	P11177
PDIA2	Q13087
PDIA3	P30101
PDIA4	P13667
PDIA6	Q15084
PDLIM1	O00151
PDLIM3	Q53GG5
PDLIM4	P50479
PDLIM5	Q96HC4
PDLIM7	Q9NR12
PDPK1	O15530
PDS5A	Q29RF7
PDS5B	Q9NTI5
PDXDC1	Q6P996
PDXK	O00764
PDXP	Q96GD0
PDZD8	Q8NEN9
PEAK1	Q9H792
PEBP1	P30086
PEF1	Q9UBV8
PEG10	Q86TG7
PELO	Q9BRX2
PELP1	Q8IZL8
PEPD	P12955
PES1	O00541
PEX11B	O96011
PEX19	P40855
PEX5	P50542
PFAS	O15067
PFDN1	O60925
PFDN2	Q9UHV9
PFDN4	Q9NQP4
PFDN5	Q99471
PFDN6	O15212
PFKL	P17858
PFKM	P08237
PFKP	Q01813
PFN1	P07737
PFN2	P35080
PGAM1	P18669
PGAM2	P15259
PGAM5	Q96HS1
PGD	P52209
PGK1	P00558
PGLS	O95336
PGM1	P36871
PGM2	Q96G03
PGM3	O95394
PGM5	Q15124
PGP	A6NDG6
PGRMC1	O00264
PHACTR4	Q8IZ21
PHAX	Q9H814
PHB	P35232
PHB2	Q99623
PHC2	Q8IXK0
PHF10	Q8WUB8
PHF14	O94880
PHF2	O75151
PHF3	Q92576
PHF5A	Q7RTV0
PHF6	Q8IWS0
PHF8	Q9UPP1
PHGDH	O43175
PHIP	Q8WWQ0
PHKA1	P46020
PHKB	Q93100
PHLDB1	Q86UU1
PHLDB2	Q86SQ0
PHPT1	Q9NRX4
PHRF1	Q9P1Y6
PHYH	O14832
PI4KA	P42356
PI4KB	Q9UBF8
PIAS4	Q8N2W9
PIBF1	Q8WXW3
PICALM	Q13492
PICK1	Q9NRD5
PIEZO1	Q92508
PIK3AP1	Q6ZUJ8
PIK3C2A	O00443
PIK3C2B	O00750
PIK3C2G	O75747
PIK3R1	P27986
PIK3R4	Q99570
PIKFYVE	Q9Y2I7
PIN1	Q13526
PIN4	Q9Y237
PINX1	Q96BK5
PIP	P12273
PIP4K2C	Q8TBX8
PIP5K1A	Q99755
PIP5K1C	O60331
PIR	O00625
PITHD1	Q9GZP4
PITPNB	P48739
PITRM1	Q5JRX3
PIWIL2	Q8TC59
PIWIL4	Q7Z3Z4
PJA2	O43164
PKLR	P30613
PKM	P14618
PKMYT1	Q99640
PKN1	Q16512
PKN2	Q16513
PKP1	Q13835
PKP2	Q99959
PKP3	Q9Y446
PKP4	Q99569
PLA2G1B	P04054
PLA2G4A	P47712
PLA2R1	Q13018
PLAA	Q9Y263
PLAUR	Q03405
PLBD2	Q8NHP8
PLCB3	Q01970
PLCG1	P19174
PLD3	Q8IV08
PLEC	Q15149
PLEKHA5	Q9HAU0
PLEKHG1	Q9ULL1
PLEKHG3	A1L390
PLIN3	O60664
PLIN4	Q96Q06
PLK1	P53350
PLOD1	Q02809
PLOD2	O00469
PLOD3	O60568
PLPBP	O94903
PLRG1	O43660
PLS1	Q14651
PLS3	P13797
PLXDC2	Q6UX71
PLXNA1	Q9UIW2
PLXNA3	P51805
PM20D2	Q8IYS1
PMF1	Q6P1K2
PML	P29590
PMM2	O15305
PMPCA	Q10713
PMPCB	O75439
PMS1	P54277
PMVK	Q15126
PNISR	Q8TF01
PNN	Q9H307
PNO1	Q9NRX1
PNP	P00491
PNPT1	Q8TCS8
PNRC1	Q12796
POC1B	Q8TC44
PODXL2	Q9NZ53
POFUT1	Q9H488
POFUT2	Q9Y2G5
POGZ	Q7Z3K3
POLA1	P09884
POLA2	Q14181
POLD1	P28340
POLD2	P49005
POLD3	Q15054
POLDIP2	Q9Y2S7
POLDIP3	Q9BY77
POLE	Q07864
POLE3	Q9NRF9
POLG	P54098
POLR1A	O95602
POLR1B	Q9H9Y6
POLR1C	O15160
POLR1D	P0DPB5
POLR2A	P24928
POLR2B	P30876
POLR2C	P19387
POLR2E	P19388
POLR3A	O14802
POLR3B	Q9NW08
POLR3C	Q9BUI4
POLR3D	P05423
POLR3E	Q9NVU0
POLR3G	O15318
POLRMT	O00411
POM121	Q96HA1
POMP	Q9Y244
POP1	Q99575
POP4	O95707
POP7	O75817
POR	P16435
POTEKP	Q9BYX7
POU2F1	P14859
POU4F1	Q01851
POU5F1	Q01860
PPA1	Q15181
PPA2	Q9H2U2
PPAN	Q9NQ55
PPAT	Q06203
PPFIA1	Q13136
PPFIBP1	Q86W92
PPHLN1	Q8NEY8
PPIA	P62937
PPIB	P23284
PPID	Q08752
PPIE	Q9UNP9
PPIF	P30405
PPIG	Q13427
PPIH	O43447
PPIL1	Q9Y3C6
PPIL2	Q13356
PPIL4	Q8WUA2
PPIP5K2	O43314
PPM1B	O75688
PPM1D	O15297
PPM1E	Q8WY54
PPM1F	P49593
PPM1G	O15355
PPM1L	Q5SGD2
PPME1	Q9Y570
PPP1CA	P62136
PPP1CB	P62140
PPP1CC	P36873
PPP1R10	Q96QC0
PPP1R12A	O14974
PPP1R12B	O60237
PPP1R12C	Q9BZL4
PPP1R13B	Q96KQ4
PPP1R13L	Q8WUF5
PPP1R14A	Q96A00
PPP1R14B	Q96C90
PPP1R18	Q6NYC8
PPP1R3C	Q9UQK1
PPP1R7	Q15435
PPP1R8	Q12972
PPP1R9B	Q96SB3
PPP2CA	P67775
PPP2R1A	P30153
PPP2R1B	P30154
PPP2R2A	P63151
PPP2R2B	Q00005
PPP2R2C	Q9Y2T4
PPP2R5C	Q13362
PPP2R5D	Q14738
PPP2R5E	Q16537
PPP3CA	Q08209
PPP3R2	Q96LZ3
PPP4C	P60510
PPP4R1	Q8TF05
PPP4R2	Q9NY27
PPP4R3A	Q6IN85
PPP4R3B	Q5MIZ7
PPP5C	P53041
PPP6C	O00743
PPP6R1	Q9UPN7
PPP6R2	O75170
PPP6R3	Q5H9R7
PPRC1	Q5VV67
PPT1	P50897
PPT2	Q9UMR5
PPWD1	Q96BP3
PQBP1	O60828
PRC1	O43663
PRCC	Q92733
PRCP	P42785
PRDX1	Q06830
PRDX2	P32119
PRDX3	P30048
PRDX4	Q13162
PRDX5	P30044
PRDX6	P30041
PREB	Q9HCU5
PREP	P48147
PREPL	Q4J6C6
PRIM1	P49642
PRIM2	P49643
PRKAA1	Q13131
PRKACB	P22694
PRKACG	P22612
PRKAG1	P54619
PRKAR1A	P10644
PRKAR2A	P13861
PRKAR2B	P31323
PRKCA	P17252
PRKCD	Q05655
PRKCI	P41743
PRKCSH	P14314
PRKDC	P78527
PRKRA	O75569
PRMT1	Q99873
PRMT3	O60678
PRMT5	O14744
PROCR	Q9UNN8
PRPF18	Q99633
PRPF19	Q9UMS4
PRPF3	O43395
PRPF31	Q8WWY3
PRPF38A	Q8NAV1
PRPF38B	Q5VTL8
PRPF39	Q86UA1
PRPF4	O43172
PRPF40A	O75400
PRPF4B	Q13523
PRPF6	O94906
PRPF8	Q6P2Q9
PRPS1	P60891
PRPS2	P11908
PRPSAP1	Q14558
PRPSAP2	O60256
PRR14L	Q5THK1
PRR3	P79522
PRRC1	Q96M27
PRRC2A	P48634
PRRC2B	Q5JSZ5
PRRC2C	Q9Y520
PRRX1	P54821
PRSS23	O95084
PRUNE1	Q86TP1
PSAP	P07602
PSAT1	Q9Y617
PSIP1	O75475
PSMA1	P25786
PSMA2	P25787
PSMA3	P25788
PSMA4	P25789
PSMA5	P28066
PSMA6	P60900
PSMA7	O14818
PSMB1	P20618
PSMB2	P49721
PSMB3	P49720
PSMB4	P28070
PSMB5	P28074
PSMB6	P28072
PSMB7	Q99436
PSMC1	P62191
PSMC2	P35998
PSMC3	P17980
PSMC4	P43686
PSMC5	P62195
PSMC6	P62333
PSMD1	Q99460
PSMD10	O75832
PSMD11	O00231
PSMD12	O00232
PSMD13	Q9UNM6
PSMD14	O00487
PSMD2	Q13200
PSMD3	O43242
PSMD4	P55036
PSMD5	Q16401
PSMD6	Q15008
PSMD7	P51665
PSMD8	P48556
PSMD9	O00233
PSME1	Q06323
PSME2	Q9UL46
PSME3	P61289
PSME4	Q14997
PSMF1	Q92530
PSMG1	O95456
PSMG2	Q969U7
PSPC1	Q8WXF1
PSPH	P78330
PTBP1	P26599
PTBP2	Q9UKA9
PTBP3	O95758
PTCD1	O75127
PTCD2	Q8WV60
PTCD3	Q96EY7
PTCRA	Q6ISU1
PTDSS1	P48651
PTER	Q96BW5
PTGES3	Q15185
PTGES3L-AARSD1	Q9BTE6
PTGFRN	Q9P2B2
PTGIR	P43119
PTK2	Q05397
PTK6	Q13882
PTK7	Q13308
PTOV1	Q86YD1
PTPA	Q15257
PTPDC1	A2A3K4
PTPN1	P18031
PTPN11	Q06124
PTPN12	Q05209
PTPN13	Q12923
PTPN23	Q9H3S7
PTPRD	P23468
PTPRE	P23469
PTPRF	P10586
PTPRG	P23470
PTPRH	Q9HD43
PTPRJ	Q12913
PTPRU	Q92729
PTRH1	Q86Y79
PTRH2	Q9Y3E5
PUF60	Q9UHX1
PUM1	Q14671
PUM2	Q8TB72
PUM3	Q15397
PURA	Q00577
PURB	Q96QR8
PURG	Q9UJV8
PUS1	Q9Y606
PUS7	Q96PZ0
PUS7L	Q9H0K6
PWP1	Q13610
PWP2	Q15269
PXDNL	A1KZ92
PXN	P49023
PYCR1	P32322
PYCR3	Q53H96
PYGB	P11216
PYGL	P06737
PYM1	Q9BRP8
QARS	P47897
QKI	Q96PU8
QPRT	Q15274
QRICH1	Q2TAL8
QSER1	Q2KHR3
QSOX2	Q6ZRP7
QTRT1	Q9BXR0
QTRT2	Q9H974
R3HCC1	Q9Y3T6
R3HDM1	Q15032
R3HDM2	Q9Y2K5
RAB10	P61026
RAB14	P61106
RAB1A	P62820
RAB1B	Q9H0U4
RAB21	Q9UL25
RAB2A	P61019
RAB35	Q15286
RAB36	O95755
RAB3D	O95716
RAB3GAP1	Q15042
RAB3GAP2	Q9H2M9
RAB5C	P51148
RAB6A	P20340
RAB7A	P51149
RABEP1	Q15276
RABGAP1	Q9Y3P9
RABGAP1L	B7ZAP0
RABGEF1	Q9UJ41
RABGGTB	P53611
RABL6	Q3YEC7
RAC1	P07998
RACGAP1	Q9H0H5
RACK1	P63244
RAD18	Q9NS91
RAD21	O60216
RAD23A	P54725
RAD23B	P54727
RAD50	Q92878
RAD51AP1	Q96B01
RAD54L2	Q9Y4B4
RAD9A	Q99638
RAE1	P78406
RAI14	Q9P0K7
RALB	P11234
RALBP1	Q15311
RALGAPA1	Q6GYQ0
RALGAPB	Q86X10
RALY	Q9UKM9
RALYL	Q86SE5
RAMAC	Q9BTL3
RAN	P62826
RANBP1	P43487
RANBP10	Q6VN20
RANBP2	P49792
RANBP3	Q9H6Z4
RANBP6	O60518
RANBP9	Q96S59
RANGAP1	P46060
RAP1B	P61224
RAP1GDS1	P52306
RAPGEF6	Q8TEU7
RAPH1	Q70E73
RARS	P54136
RARS2	Q5T160
RASAL2	Q9UJF2
RAVER1	Q8IY67
RAVER2	Q9HCJ3
RB1	P06400
RB1CC1	Q8TDY2
RBBP4	Q09028
RBBP5	Q15291
RBBP6	Q7Z6E9
RBBP7	Q16576
RBFA	Q8N0V3
RBFOX1	Q9NWB1
RBFOX2	O43251
RBM10	P98175
RBM12	Q9NTZ6
RBM12B	Q8IXT5
RBM14	Q96PK6
RBM15	Q96T37
RBM15B	Q8NDT2
RBM17	Q96I25
RBM19	Q9Y4C8
RBM20	Q5T481
RBM22	Q9NW64
RBM23	Q86U06
RBM24	Q9BX46
RBM25	P49756
RBM26	Q5T8P6
RBM27	Q9P2N5
RBM28	Q9NW13
RBM3	P98179
RBM33	Q96EV2
RBM34	P42696
RBM38	Q9H0Z9
RBM39	Q14498
RBM4	Q9BWF3
RBM41	Q96IZ5
RBM42	Q9BTD8
RBM45	Q8IUH3
RBM47	A0AV96
RBM4B	Q9BQ04
RBM5	P52756
RBM6	P78332
RBM7	Q9Y580
RBM8A	Q9Y5S9
RBMS1	P29558
RBMS2	Q15434
RBMS3	Q6XE24
RBMX	P38159
RBMX2	Q9Y388
RBMXL1	Q96E39
RBPMS	Q93062
RBPMS2	Q6ZRY4
RC3H1	Q5TC82
RC3H2	Q9HBD1
RCC1	P18754
RCC1L	Q96I51
RCC2	Q9P258
RCL1	Q9Y2P8
RCN1	Q15293
RCN2	Q14257
RCOR1	Q9UKL0
RDX	P35241
RECQL	P46063
RECQL4	O94761
RECQL5	O94762
RELA	Q04206
RELCH	Q9P260
RELN	P78509
REPIN1	Q9BWE0
REPS1	Q96D71
RETSAT	Q6NUM9
REXO2	Q9Y3B8
REXO4	Q9GZR2
RFC1	P35251
RFC2	P35250
RFC3	P40938
RFC4	P35249
RFC5	P40937
RFK	Q969G6
RGL4	Q8IZJ4
RGPD3	A6NKT7
RGPD5	O14715
RGS10	O43665
RHEB	Q15382
RHOA	P61586
RHOT2	Q8IXI1
RIC8A	Q9NPQ8
RICTOR	Q6R327
RIDA	P52758
RIF1	Q5UIP0
RILPL1	Q5EBL4
RIMS1	Q86UR5
RING1	Q06587
RIOK1	Q9BRS2
RIOK2	Q9BVS4
RIOK3	O14730
RIOX1	Q9H6W3
RIOX2	Q8IUF8
RIPK1	Q13546
RIPK4	P57078
RIPOR1	Q6ZS17
RMDN1	Q96DB5
RMND5A	Q9H871
RNASEH2A	O75792
RNASEH2B	Q5TBB1
RNASEH2C	Q8TDP1
RNASEL	Q05823
RNASET2	O00584
RNF10	Q8N5U6
RNF111	Q6ZNA4
RNF113A	O15541
RNF114	Q9Y508
RNF138	Q8WVD3
RNF2	Q99496
RNF20	Q5VTR2
RNF213	Q63HN8
RNF214	Q8ND24
RNF219	Q5W0B1
RNF25	Q96BH1
RNF31	Q96EP0
RNF32	Q9H0A6
RNF4	P78317
RNF40	O75150
RNH1	P13489
RNMT	O43148
RNPEP	Q9H4A4
RNPS1	Q15287
RO60	P10155
ROBO1	Q9Y6N7
ROCK1	Q13464
ROCK2	O75116
ROR2	Q01974
RP9	Q8TA86
RPA1	P27694
RPA2	P15927
RPA3	P35244
RPAP1	Q9BWH6
RPAP2	Q8IXW5
RPAP3	Q9H6T3
RPE	Q96AT9
RPF1	Q9H9Y2
RPF2	Q9H7B2
RPGR	Q92834
RPIA	P49247
RPL10	P27635
RPL10A	P62906
RPL11	P62913
RPL12	P30050
RPL13	P26373
RPL13A	P40429
RPL14	P50914
RPL15	P61313
RPL17	P18621
RPL18	Q07020
RPL18A	Q02543
RPL19	P84098
RPL21	P46778
RPL22	P35268
RPL22L1	Q6P5R6
RPL23	P62829
RPL23A	P62750
RPL24	P83731
RPL26	P61254
RPL26L1	Q9UNX3
RPL27	P61353
RPL27A	P46776
RPL28	P46779
RPL29	P47914
RPL3	P39023
RPL30	P62888
RPL31	P62899
RPL32	P62910
RPL34	P49207
RPL35	P42766
RPL35A	P18077
RPL36	Q9Y3U8
RPL36A	P83881
RPL37	P61927
RPL37A	P61513
RPL38	P63173
RPL4	P36578
RPL5	P46777
RPL6	Q02878
RPL7	P18124
RPL7A	P62424
RPL7L1	Q6DKI1
RPL8	P62917
RPL9	P32969
RPLP0	P05388
RPLP1	P05386
RPLP2	P05387
RPN1	P04843
RPN2	P04844
RPP25	Q9BUL9
RPP25L	Q8N5L8
RPP30	P78346
RPP38	P78345
RPP40	O75818
RPRD1A	Q96P16
RPRD1B	Q9NQG5
RPRD2	Q5VT52
RPS10	P46783
RPS11	P62280
RPS12	P25398
RPS13	P62277
RPS14	P62263
RPS15	P62841
RPS15A	P62244
RPS16	P62249
RPS17	P08708
RPS18	P62269
RPS19	P39019
RPS19BP1	Q86WX3
RPS2	P15880
RPS20	P60866
RPS21	P63220
RPS23	P62266
RPS24	P62847
RPS25	P62851
RPS26	P62854
RPS27	P42677
RPS27A	P62979
RPS27L	Q71UM5
RPS28	P62857
RPS29	P62273
RPS3	P23396
RPS3A	P61247
RPS4X	P62701
RPS5	P46782
RPS6	P62753
RPS6KA3	P51812
RPS6KA5	O75582
RPS6KB1	P23443
RPS6KB2	Q9UBS0
RPS7	P62081
RPS8	P62241
RPS9	P46781
RPSA	P08865
RPTOR	Q8N122
RPUSD2	Q8IZ73
RPUSD3	Q6P087
RPUSD4	Q96CM3
RRAGA	Q7L523
RRAGC	Q9HB90
RRAS2	P62070
RRBP1	Q9P2E9
RRM1	P23921
RRM2	P31350
RRN3	Q9NYV6
RRP1	P56182
RRP12	Q5JTH9
RRP15	Q9Y3B9
RRP1B	Q14684
RRP36	Q96EU6
RRP7A	Q9Y3A4
RRP8	O43159
RRP9	O43818
RRS1	Q15050
RSBN1	Q5VWQ0
RSBN1L	Q6PCB5
RSF1	Q96T23
RSL1D1	O76021
RSL24D1	Q9UHA3
RSRC1	Q96IZ7
RSRC2	Q7L4I2
RSU1	Q15404
RTCA	O00442
RTCB	Q9Y3I0
RTF1	Q92541
RTF2	Q9BY42
RTN4	Q9NQC3
RTN4RL1	Q86UN2
RTN4RL2	Q86UN3
RTRAF	Q9Y224
RUFY1	Q96T51
RUVBL1	Q9Y265
RUVBL2	Q9Y230
RWDD1	Q9H446
RWDD4	Q6NW29
RXRB	P28702
RYBP	Q8N488
S100A10	P60903
S100A11	P31949
S100A13	Q99584
S100A16	Q96FQ6
S100A2	P29034
S100A4	P26447
S100A7	P31151
S100A7A	Q86SG5
S100A8	P05109
S100A9	P06702
SAAL1	Q96ER3
SACM1L	Q9NTJ5
SACS	Q9NZJ4
SAE1	Q9UBE0
SAFB	Q15424
SAFB2	Q14151
SALL2	Q9Y467
SAMD4A	Q9UPU9
SAMD4B	Q5PRF9
SAMHD1	Q9Y3Z3
SAMSN1	Q9NSI8
SAP18	O00422
SAP30BP	Q9UHR5
SAR1A	Q9NR31
SAR1B	Q9Y6B6
SARNP	P82979
SARS	P49591
SARS2	Q9NP81
SART1	O43290
SART3	Q15020
SASS6	Q6UVJ0
SBDS	Q9Y3A5
SBF1	O95248
SBNO1	A3KN83
SBSN	Q6UWP8
SCAF1	Q9H7N4
SCAF11	Q99590
SCAF4	O95104
SCAF8	Q9UPN6
SCAMP2	O15127
SCAMP3	O14828
SCAPER	Q9BY12
SCARB2	Q14108
SCD	O00767
SCFD1	Q8WVM8
SCG3	Q8WXD2
SCGB1D1	O95968
SCLY	Q96I15
SCPEP1	Q9HB40
SCRIB	Q14160
SCRN1	Q12765
SCYL1	Q96KG9
SCYL2	Q6P3W7
SDAD1	Q9NVU7
SDC4	P31431
SDCBP	O00560
SDE2	Q6IQ49
SDF4	Q9BRK5
SDHA	P31040
SEC13	P55735
SEC16A	O15027
SEC22B	O75396
SEC23A	Q15436
SEC23B	Q15437
SEC23IP	Q9Y6Y8
SEC24A	O95486
SEC24B	O95487
SEC24C	P53992
SEC24D	O94855
SEC31A	O94979
SEC61A1	P61619
SEC61B	P60468
SEC62	Q99442
SEC63	Q9UGP8
SECISBP2	Q96T21
SECISBP2L	Q93073
SEH1L	Q96EE3
SELENBP1	Q13228
SELENOH	Q8IZQ5
SEMG1	P04279
SENP3	Q9H4L4
SEPHS1	P49903
SEPT11	Q9NVA2
SEPT2	Q15019
SEPT6	Q14141
SEPT7	Q16181
SEPT8	Q92599
SEPT9	Q9UHD8
SERBP1	Q8NC51
SERPINB12	Q96P63
SERPINB3	P29508
SERPINB5	P36952
SERPINB6	P35237
SERPINH1	P50454
SERPINI2	O75830
SESN2	P58004
SET	Q01105
SETD1A	O15047
SETD2	Q9BYW2
SETD3	Q86TU7
SETD7	Q8WTS6
SETDB1	Q15047
SETX	Q7Z333
SEZ6L2	Q6UXD5
SF1	Q15637
SF3A1	Q15459
SF3A2	Q15428
SF3A3	Q12874
SF3B1	O75533
SF3B2	Q13435
SF3B3	Q15393
SF3B4	Q15427
SF3B6	Q9Y3B4
SFN	P31947
SFPQ	P23246
SFRP2	Q96HF1
SFSWAP	Q12872
SGSH	P51688
SGTA	O43765
SH3BGRL	O75368
SH3BGRL3	Q9H299
SH3GL1	Q99961
SH3GLB1	Q9Y371
SH3KBP1	Q96B97
SH3PXD2B	A1X283
SHC1	P29353
SHCBP1	Q8NEM2
SHMT1	P34896
SHMT2	P34897
SHOC2	Q9UQ13
SHPK	Q9UHJ6
SHPRH	Q149N8
SHQ1	Q6PI26
SHTN1	A0MZ66
SIGIRR	Q6IA17
SIL1	Q9H173
SIN3A	Q96ST3
SIN3B	O75182
SIPA1	Q96FS4
SIPA1L1	O43166
SIPA1L2	Q9P2F8
SIPA1L3	O60292
SIRT1	Q96EB6
SIRT2	Q8IXJ6
SIX4	Q9UIU6
SKA3	Q8IX90
SKAP2	O75563
SKIV2L	Q15477
SKP1	P63208
SKP2	Q13309
SLAIN2	Q9P270
SLBP	Q14493
SLC12A2	P55011
SLC12A4	Q9UP95
SLC12A7	Q9Y666
SLC12A9	Q9BXP2
SLC16A1	P53985
SLC16A3	O15427
SLC1A4	P43007
SLC1A5	Q15758
SLC20A1	Q8WUM9
SLC25A10	Q9UBX3
SLC25A11	Q02978
SLC25A13	Q9UJS0
SLC25A3	Q00325
SLC25A48	Q6ZT89
SLC25A5	P05141
SLC25A6	P12236
SLC38A2	Q96QD8
SLC3A2	P08195
SLC44A2	Q8IWA5
SLC4A1AP	Q9BWU0
SLC4A2	P04920
SLC4A4	Q9Y6R1
SLC4A7	Q9Y6M7
SLC6A15	Q9H2J7
SLC6A4	P31645
SLC7A2	P52569
SLC9A3R1	O14745
SLFN11	Q7Z7L1
SLIRP	Q9GZT3
SLIT2	O94813
SLK	Q9H2G2
SLMAP	Q14BN4
SLTM	Q9NWH9
SLU7	O95391
SMAD5	Q99717
SMAD6	O43541
SMAP1	Q8IYB5
SMAP2	Q8WU79
SMARCA1	P28370
SMARCA2	P51531
SMARCA4	P51532
SMARCA5	O60264
SMARCAD1	Q9H4L7
SMARCC1	Q92922
SMARCC2	Q8TAQ2
SMARCD1	Q96GM5
SMARCE1	Q969G3
SMC1A	Q14683
SMC2	O95347
SMC3	Q9UQE7
SMC4	Q9NTJ3
SMC5	Q8IY18
SMC6	Q96SB8
SMCHD1	A6NHR9
SMG1	Q96Q15
SMG5	Q9UPR3
SMG6	Q86US8
SMG7	Q92540
SMG8	Q8ND04
SMG9	Q9H0W8
SMN1	Q16637
SMNDC1	O75940
SMPD3	Q9NY59
SMPD4	Q9NXE4
SMS	P52788
SMU1	Q2TAY7
SMYD5	Q6GMV2
SNAP29	O95721
SNAPC4	Q5SXM2
SNAPIN	O95295
SND1	Q7KZF4
SNIP1	Q8TAD8
SNRNP200	O75643
SNRNP27	Q8WVK2
SNRNP40	Q96DI7
SNRNP70	P08621
SNRPA	P09012
SNRPA1	P09661
SNRPB	P14678
SNRPB2	P08579
SNRPC	P09234
SNRPD1	P62314
SNRPD2	P62316
SNRPD3	P62318
SNRPE	P62304
SNRPF	P62306
SNRPG	P62308
SNTB1	Q13884
SNTB2	Q13425
SNU13	P55769
SNW1	Q13573
SNX1	Q13596
